ID,Category,Question
JV1,Just Vibing,What’s a first impression you had of me that changed over time?
JV2,Just Vibing,What’s your favorite thing about where you grew up?
JV3,Just Vibing,How did you get your name?
JV4,Just Vibing,What’s a fashion trend you never understood?
JV5,Just Vibing,What’s your go-to stress-eating food?
JV6,Just Vibing,What’s your most rewatched movie or show?
JV7,Just Vibing,What’s something you are looking forward to?
JV8,Just Vibing,What thought has been looping in your head lately?
JV9,Just Vibing,What’s the funniest thing that’s happened to you in a car?
JV10,Just Vibing,What’s the most important thing you’ve accidentally slept through?
JV11,Just Vibing,When was the last time you pulled an all-nighter?
JV12,Just Vibing,"Other than where you live now, what city would you most want to live in?"
JV13,Just Vibing,What’s a piece of art or decor you’d love to have in your home if money weren’t an issue?
JV14,Just Vibing,What would your perfect birthday look like?
JV15,Just Vibing,Are you more of a planner or a spontaneous person? What made you that way?
JV16,Just Vibing,"If you could instantly master any skill, what would you choose, and why?"
JV17,Just Vibing,What’s a surprising comment from a stranger that you still remember?
JV18,Just Vibing,What’s something you’ve kept with you for a really long time?
JV19,Just Vibing,"If there were a book about your life, what would the title be?"
JV20,Just Vibing,"What’s the newest hobby you’ve picked up, and what do you love about it?"
JV21,Just Vibing,"If I were a life coach, what do you think people would come to me for help with?"
JV22,Just Vibing,What’s one song you’ve had on repeat lately?
JV23,Just Vibing,What’s your ideal way to spend a rainy weekend?
JV24,Just Vibing,What food could you eat three days in a row?
JV25,Just Vibing,What’s the most spontaneous thing you’ve ever done?
JV26,Just Vibing,What’s something I say all the time?
JV27,Just Vibing,"What’s one song you love for the lyrics, and one you love purely for the music?"
JV28,Just Vibing,"If you had to pick a movie for us to watch, what would you choose?"
JV29,Just Vibing,What’s a guilty pleasure you love unapologetically?
JV30,Just Vibing,What’s a habit you’ve kept since childhood? How did it start?
JV31,Just Vibing,What was your favorite toy as a kid?
JV32,Just Vibing,What’s a very specific errand or household chore you secretly enjoy?
JV33,Just Vibing,What’s something you always notice in other people’s homes?
JV34,Just Vibing,What’s your favorite way to spend an evening alone?
DD1,Dig Deep,What do people do that makes you feel loved?
DD2,Dig Deep,How has living in your current city shaped your personality or lifestyle?
DD3,Dig Deep,What’s one change you hope to see in the world in five years?
DD4,Dig Deep,What music do you listen to when you’re feeling down?
DD5,Dig Deep,What makes you naturally click with someone as a friend?
DD6,Dig Deep,What’s something you appreciate about yourself?
DD7,Dig Deep,What’s something you’ve changed your mind about recently?
DD8,Dig Deep,What makes you feel seen and understood by someone?
DD9,Dig Deep,What’s something you want more of in your life lately?
DD10,Dig Deep,"Who’s someone who changed the way you see yourself or the world, and how?"
DD11,Dig Deep,What’s one thing you think makes me “me”?
DD12,Dig Deep,"What was the last movie that made you cry, and what about it hit you emotionally?"
DD13,Dig Deep,Do you find it easy or hard to apologize when you’re wrong?
DD14,Dig Deep,What do you like most about your current life?
DD15,Dig Deep,How are you feeling now compared to this time yesterday?
DD16,Dig Deep,"Who’s someone you really look up to, and why?"
DD17,Dig Deep,What’s something you’re grateful your younger self didn’t give up on?
DD18,Dig Deep,What’s something you’re still learning how to handle?
DD19,Dig Deep,What’s a misconception people often have about you?
DD20,Dig Deep,"Other than yourself, who do you think knows you best?"
DD21,Dig Deep,How do you think I show affection to people?
DD22,Dig Deep,What’s something about me you’re curious to learn more about?
DD23,Dig Deep,What helps you feel grounded or comforted when you’re overwhelmed?
DD24,Dig Deep,What’s something you wish your friends or family asked you more often?
DD25,Dig Deep,"If your life became a movie, what’s one scene you’d want in the final cut?"
DD26,Dig Deep,What’s a compliment that’s stayed with you for years?
DD27,Dig Deep,What’s a moment from your past that you later realized was a turning point?
DD28,Dig Deep,What’s one moment when you were impressed by me?
DD29,Dig Deep,Is there someone you still miss from time to time?
DD30,Dig Deep,In what ways do you think we’re similar?
DD31,Dig Deep,What’s the best advice you’ve ever received from someone unexpected?
DD32,Dig Deep,What do you think it was like to raise you when you were a child?
DD33,Dig Deep,What’s something you learned about love from watching other people?
WW1,Wait What?,Who was the most unhinged teacher or professor you’ve ever had?
WW2,Wait What?,What’s the strangest thing you believed as a child?
WW3,Wait What?,"If a song played every time you entered a room, what would it be?"
WW4,Wait What?,"If aliens observed humanity through you alone, what would confuse them the most?"
WW5,Wait What?,What’s a completely harmless thing that scares you?
WW6,Wait What?,What’s a time you accidentally drove a friend crazy?
WW7,Wait What?,What does your best friend roast you for the most?
WW8,Wait What?,"If you accidentally became a cult leader, what would the cult be about?"
WW9,Wait What?,What would you do if you could become invisible for one hour?
WW10,Wait What?,What’s the most chaotic thing you've done while home alone?
WW11,Wait What?,"If you had to replace your hands with any object or tool, what would you choose?"
WW12,Wait What?,What unconventional hair color do you think I could pull off?
WW13,Wait What?,What advice would you give your pet?
WW14,Wait What?,What’s the most unhealthy thing you do for your mental health?
WW15,Wait What?,"If you could erase one of your own embarrassing moments from everyone else’s memory, what would it be?"
WW16,Wait What?,"If you were stuck indoors for 3 months with 3 people from your contacts, who would you pick?"
WW17,Wait What?,"If you could hear one person’s thoughts, whose would you listen to?"
