ID,Category,Question
JV1,Just Vibing,What’s a first impression you had of me that changed over time?
DD1,Dig Deep,What do people do that makes you feel loved?
WW1,Wait What?,Who was the most unhinged teacher or professor you’ve ever had?
JV3,Just Vibing,How did you get your name?
DD5,Dig Deep,What makes you naturally click with someone as a friend?
JV4,Just Vibing,What’s a fashion trend you never understood?
DD4,Dig Deep,What music do you listen to when you’re feeling down?
WW2,Wait What?,What’s the strangest thing you believed as a child?
WW3,Wait What?,"If a song played every time you entered a room, what would it be?"
JV5,Just Vibing,What’s your go-to stress-eating food?
JV6,Just Vibing,What’s your most rewatched movie or show?
DD6,Dig Deep,What’s something you appreciate about yourself?
WW4,Wait What?,"If aliens observed humanity through you alone, what would confuse them the most?"
JV7,Just Vibing,What’s something you are looking forward to?
DD9,Dig Deep,What’s something you want more of in your life lately?
WW5,Wait What?,What’s a completely harmless thing that scares you?
WW11,Wait What?,"If you had to replace your hands with any object or tool, what would you choose?"
DD7,Dig Deep,What’s something you’ve changed your mind about recently?
DD8,Dig Deep,What makes you feel seen and understood by someone?
JV2,Just Vibing,What’s your favorite thing about where you grew up?
DD2,Dig Deep,How has living in your current city shaped your personality or lifestyle?
DD3,Dig Deep,What’s one change you hope to see in the world in five years?
DD24,Dig Deep,What’s something you wish your friends or family asked you more often?
DD23,Dig Deep,What helps you feel grounded or comforted when you’re overwhelmed?
DD22,Dig Deep,What’s something about me you’re curious to learn more about?
DD21,Dig Deep,How do you think I show affection to people?
DD20,Dig Deep,"Other than yourself, who do you think knows you best?"
DD19,Dig Deep,What’s a misconception people often have about you?
DD18,Dig Deep,What’s something you’re still learning how to handle?
DD17,Dig Deep,What’s something you’re grateful your younger self didn’t give up on?
DD16,Dig Deep,"Who’s someone you really look up to, and why?"
DD15,Dig Deep,How are you feeling now compared to this time yesterday?
DD14,Dig Deep,What do you like most about your current life?
DD13,Dig Deep,Do you find it easy or hard to apologize when you’re wrong?
DD12,Dig Deep,"What was the last movie that made you cry, and what about it hit you emotionally?"
DD11,Dig Deep,What’s one thing you think makes me “me”?
DD10,Dig Deep,"Who’s someone who changed the way you see yourself or the world, and how?"
JV25,Just Vibing,What’s the most spontaneous thing you’ve ever done?
JV24,Just Vibing,What food could you eat three days in a row?
JV23,Just Vibing,What’s your ideal way to spend a rainy weekend?
JV22,Just Vibing,What’s one song you’ve had on repeat lately?
JV21,Just Vibing,"If I were a life coach, what do you think people would come to me for help with?"
JV20,Just Vibing,"What’s the newest hobby you’ve picked up, and what do you love about it?"
JV19,Just Vibing,"If there were a book about your life, what would the title be?"
JV18,Just Vibing,What’s something you’ve kept with you for a really long time?
JV17,Just Vibing,What’s a surprising comment from a stranger that you still remember?
JV16,Just Vibing,"If you could instantly master any skill, what would you choose, and why?"
JV15,Just Vibing,Are you more of a planner or a spontaneous person? What made you that way?
JV14,Just Vibing,What would your perfect birthday look like?
JV13,Just Vibing,What’s a piece of art or decor you’d love to have in your home if money weren’t an issue?
JV12,Just Vibing,"Other than where you live now, what city would you most want to live in?"
JV11,Just Vibing,When was the last time you pulled an all-nighter?
JV10,Just Vibing,What’s the most important thing you’ve accidentally slept through?
JV9,Just Vibing,What’s the funniest thing that’s happened to you in a car?
JV8,Just Vibing,What thought has been looping in your head lately?
WW6,Wait What?,What’s a time you accidentally drove a friend crazy?
WW10,Wait What?,What’s the most chaotic thing you've done while home alone?
WW9,Wait What?,What would you do if you could become invisible for one hour?
WW8,Wait What?,"If you accidentally became a cult leader, what would the cult be about?"
WW7,Wait What?,What does your best friend roast you for the most?
WW13,Wait What?,What advice would you give your pet?
WW12,Wait What?,What unconventional hair color do you think I could pull off?
WW14,Wait What?,What’s the most unhealthy thing you do for your mental health?
WW15,Wait What?,"If you could erase one of your own embarrassing moments from everyone else’s memory, what would it be?"
WW16,Wait What?,"If you were stuck indoors for 3 months with 3 people from your contacts, who would you pick?"
WW17,Wait What?,"If you could hear one person’s thoughts, whose would you listen to?"
